algorithm,threads,hashbits,buckets,data_size,duration,cores,memory
count-then-move,1,1,2,16777216,2988,32,78723665920
count-then-move,2,1,2,16777216,3278,32,79052857344
count-then-move,4,1,2,16777216,1720,32,79265751040
count-then-move,8,1,2,16777216,1349,32,79467749376
count-then-move,16,1,2,16777216,1159,32,79709474816
count-then-move,32,1,2,16777216,688,32,79702216704
count-then-move,1,2,4,16777216,3473,32,79473221632
count-then-move,2,2,4,16777216,3424,32,79356674048
count-then-move,4,2,4,16777216,1837,32,79467372544
count-then-move,8,2,4,16777216,1493,32,79622004736
count-then-move,16,2,4,16777216,1209,32,79397740544
count-then-move,32,2,4,16777216,669,32,78953406464
count-then-move,1,3,8,16777216,3482,32,78510395392
count-then-move,2,3,8,16777216,3478,32,78558228480
count-then-move,4,3,8,16777216,1760,32,78550528000
count-then-move,8,3,8,16777216,1478,32,78797246464
count-then-move,16,3,8,16777216,1160,32,78726094848
count-then-move,32,3,8,16777216,643,32,78645633024
count-then-move,1,4,16,16777216,3478,32,79031205888
count-then-move,2,4,16,16777216,3557,32,78987927552
count-then-move,4,4,16,16777216,1781,32,78971117568
count-then-move,8,4,16,16777216,1358,32,79056547840
count-then-move,16,4,16,16777216,956,32,79012720640
count-then-move,32,4,16,16777216,645,32,78977908736
count-then-move,1,5,32,16777216,3530,32,78760042496
count-then-move,2,5,32,16777216,2970,32,78768537600
count-then-move,4,5,32,16777216,1768,32,78787133440
count-then-move,8,5,32,16777216,999,32,78544830464
count-then-move,16,5,32,16777216,802,32,78740140032
count-then-move,32,5,32,16777216,657,32,78671429632
count-then-move,1,6,64,16777216,3594,32,78580559872
count-then-move,2,6,64,16777216,2703,32,78710345728
count-then-move,4,6,64,16777216,1679,32,78691278848
count-then-move,8,6,64,16777216,960,32,78659805184
count-then-move,16,6,64,16777216,649,32,78616625152
count-then-move,32,6,64,16777216,472,32,78546984960
count-then-move,1,7,128,16777216,3601,32,78405124096
count-then-move,2,7,128,16777216,2490,32,78427602944
count-then-move,4,7,128,16777216,1620,32,78680211456
count-then-move,8,7,128,16777216,956,32,78824153088
count-then-move,16,7,128,16777216,618,32,78970445824
count-then-move,32,7,128,16777216,347,32,79320793088
count-then-move,1,8,256,16777216,3595,32,79107633152
count-then-move,2,8,256,16777216,2410,32,79092142080
count-then-move,4,8,256,16777216,1515,32,79103164416
count-then-move,8,8,256,16777216,925,32,79390060544
count-then-move,16,8,256,16777216,485,32,79616643072
count-then-move,32,8,256,16777216,330,32,79204970496
count-then-move,1,9,512,16777216,3646,32,78863208448
count-then-move,2,9,512,16777216,2297,32,78821683200
count-then-move,4,9,512,16777216,1503,32,78858600448
count-then-move,8,9,512,16777216,787,32,79105114112
count-then-move,16,9,512,16777216,507,32,79031484416
count-then-move,32,9,512,16777216,372,32,79300681728
count-then-move,1,10,1024,16777216,3695,32,78890450944
count-then-move,2,10,1024,16777216,2372,32,78771757056
count-then-move,4,10,1024,16777216,1539,32,79024037888
count-then-move,8,10,1024,16777216,812,32,79162183680
count-then-move,16,10,1024,16777216,443,32,79060643840
count-then-move,32,10,1024,16777216,271,32,79094247424
count-then-move,1,11,2048,16777216,4050,32,78736089088
count-then-move,2,11,2048,16777216,2459,32,78912020480
count-then-move,4,11,2048,16777216,1633,32,79156678656
count-then-move,8,11,2048,16777216,802,32,79141474304
count-then-move,16,11,2048,16777216,429,32,79049842688
count-then-move,32,11,2048,16777216,249,32,78941474816
count-then-move,1,12,4096,16777216,3678,32,78644690944
count-then-move,2,12,4096,16777216,2320,32,78845550592
count-then-move,4,12,4096,16777216,1455,32,78862237696
count-then-move,8,12,4096,16777216,828,32,79084580864
count-then-move,16,12,4096,16777216,457,32,79309758464
count-then-move,32,12,4096,16777216,257,32,79202209792
count-then-move,1,13,8192,16777216,3775,32,78774329344
count-then-move,2,13,8192,16777216,2268,32,78939496448
count-then-move,4,13,8192,16777216,1502,32,78925365248
count-then-move,8,13,8192,16777216,857,32,78914727936
count-then-move,16,13,8192,16777216,452,32,79167565824
count-then-move,32,13,8192,16777216,244,32,79095062528
count-then-move,1,14,16384,16777216,3808,32,79311622144
count-then-move,2,14,16384,16777216,2264,32,79140020224
count-then-move,4,14,16384,16777216,1507,32,79306801152
count-then-move,8,14,16384,16777216,785,32,79556685824
count-then-move,16,14,16384,16777216,461,32,79750385664
count-then-move,32,14,16384,16777216,248,32,79877808128
count-then-move,1,15,32768,16777216,3858,32,79733575680
count-then-move,2,15,32768,16777216,2274,32,79621881856
count-then-move,4,15,32768,16777216,1534,32,79595962368
count-then-move,8,15,32768,16777216,760,32,79586074624
count-then-move,16,15,32768,16777216,446,32,79554674688
count-then-move,32,15,32768,16777216,250,32,79537291264
count-then-move,1,16,65536,16777216,3931,32,79176630272
count-then-move,2,16,65536,16777216,2268,32,79052697600
count-then-move,4,16,65536,16777216,2275,32,80069017600
count-then-move,8,16,65536,16777216,1002,32,80266473472
count-then-move,16,16,65536,16777216,475,32,81353162752
count-then-move,32,16,65536,16777216,307,32,84795502592
