algorithm,threads,hashbits,buckets,data_size,duration,cores,memory
count-then-move,1,1,2,16777216,4810,32,12365905920
count-then-move,2,1,2,16777216,5316,32,12693381120
count-then-move,4,1,2,16777216,3508,32,12689821696
count-then-move,8,1,2,16777216,3215,32,13008785408
count-then-move,16,1,2,16777216,3010,32,12938821632
count-then-move,32,1,2,16777216,2472,32,12852097024
count-then-move,1,2,4,16777216,4687,32,12607008768
count-then-move,2,2,4,16777216,5053,32,12737077248
count-then-move,4,2,4,16777216,3355,32,12828631040
count-then-move,8,2,4,16777216,2996,32,12964315136
count-then-move,16,2,4,16777216,2715,32,13199167488
count-then-move,32,2,4,16777216,2170,32,13184753664
count-then-move,1,3,8,16777216,4541,32,13146177536
count-then-move,2,3,8,16777216,4879,32,13102424064
count-then-move,4,3,8,16777216,3130,32,13245231104
count-then-move,8,3,8,16777216,2820,32,13256704000
count-then-move,16,3,8,16777216,2564,32,13168144384
count-then-move,32,3,8,16777216,2069,32,12888289280
count-then-move,1,4,16,16777216,4476,32,12684451840
count-then-move,2,4,16,16777216,4838,32,12888084480
count-then-move,4,4,16,16777216,3035,32,12853940224
count-then-move,8,4,16,16777216,2630,32,12668743680
count-then-move,16,4,16,16777216,2315,32,12332638208
count-then-move,32,4,16,16777216,1980,32,12576317440
count-then-move,1,5,32,16777216,4469,32,12492414976
count-then-move,2,5,32,16777216,4347,32,12690911232
count-then-move,4,5,32,16777216,3019,32,12920573952
count-then-move,8,5,32,16777216,2426,32,12914192384
count-then-move,16,5,32,16777216,2124,32,13140226048
count-then-move,32,5,32,16777216,1894,32,13324173312
count-then-move,1,6,64,16777216,4493,32,13070016512
count-then-move,2,6,64,16777216,3994,32,13021388800
count-then-move,4,6,64,16777216,2909,32,12977778688
count-then-move,8,6,64,16777216,2256,32,12929409024
count-then-move,16,6,64,16777216,1907,32,13153357824
count-then-move,32,6,64,16777216,1736,32,13298024448
count-then-move,1,7,128,16777216,4478,32,13088239616
count-then-move,2,7,128,16777216,3743,32,13234884608
count-then-move,4,7,128,16777216,2829,32,13255045120
count-then-move,8,7,128,16777216,2247,32,13255856128
count-then-move,16,7,128,16777216,1814,32,13318733824
count-then-move,32,7,128,16777216,1614,32,13238521856
count-then-move,1,8,256,16777216,4449,32,12959653888
count-then-move,2,8,256,16777216,3675,32,12927311872
count-then-move,4,8,256,16777216,2771,32,13159448576
count-then-move,8,8,256,16777216,2203,32,13116059648
count-then-move,16,8,256,16777216,1757,32,13038059520
count-then-move,32,8,256,16777216,1584,32,12891316224
count-then-move,1,9,512,16777216,4476,32,12808036352
count-then-move,2,9,512,16777216,3545,32,12869091328
count-then-move,4,9,512,16777216,2781,32,13084708864
count-then-move,8,9,512,16777216,2134,32,13001895936
count-then-move,16,9,512,16777216,1751,32,13039792128
count-then-move,32,9,512,16777216,1534,32,13105225728
count-then-move,1,10,1024,16777216,4529,32,13391482880
count-then-move,2,10,1024,16777216,3636,32,13613744128
count-then-move,4,10,1024,16777216,2866,32,13329920000
count-then-move,8,10,1024,16777216,2098,32,13225267200
count-then-move,16,10,1024,16777216,1716,32,13438316544
count-then-move,32,10,1024,16777216,1595,32,13606395904
count-then-move,1,11,2048,16777216,4778,32,13483687936
count-then-move,2,11,2048,16777216,3718,32,13396938752
count-then-move,4,11,2048,16777216,2844,32,13369430016
count-then-move,8,11,2048,16777216,2086,32,13271826432
count-then-move,16,11,2048,16777216,1695,32,13276860416
count-then-move,32,11,2048,16777216,1517,32,12905418752
count-then-move,1,12,4096,16777216,4438,32,12626386944
count-then-move,2,12,4096,16777216,3637,32,12868198400
count-then-move,4,12,4096,16777216,2748,32,12809658368
count-then-move,8,12,4096,16777216,2080,32,12762857472
count-then-move,16,12,4096,16777216,1726,32,12699029504
count-then-move,32,12,4096,16777216,1516,32,12961583104
count-then-move,1,13,8192,16777216,4481,32,13244076032
count-then-move,2,13,8192,16777216,3461,32,13243203584
count-then-move,4,13,8192,16777216,2793,32,13132562432
count-then-move,8,13,8192,16777216,2022,32,13140193280
count-then-move,16,13,8192,16777216,1714,32,13236862976
count-then-move,32,13,8192,16777216,1508,32,13309194240
count-then-move,1,14,16384,16777216,4494,32,13282824192
count-then-move,2,14,16384,16777216,3445,32,13143105536
count-then-move,4,14,16384,16777216,2792,32,13037948928
count-then-move,8,14,16384,16777216,2080,32,13025787904
count-then-move,16,14,16384,16777216,1718,32,13119533056
count-then-move,32,14,16384,16777216,1513,32,13030318080
count-then-move,1,15,32768,16777216,4509,32,12952403968
count-then-move,2,15,32768,16777216,3436,32,13011333120
count-then-move,4,15,32768,16777216,2703,32,12958334976
count-then-move,8,15,32768,16777216,2056,32,12994060288
count-then-move,16,15,32768,16777216,1677,32,12738822144
count-then-move,32,15,32768,16777216,1529,32,13044166656
count-then-move,1,16,65536,16777216,4513,32,12992937984
count-then-move,2,16,65536,16777216,3450,32,12970860544
count-then-move,4,16,65536,16777216,2814,32,13190135808
