algorithm,bits,llc-load-misses,llc-store-misses
count-then-move,1,850150,8416039
count-then-move,2,757572,8737720
count-then-move,3,2575110,10399781
count-then-move,4,2467973,13258924
count-then-move,5,1259782,14554638
count-then-move,6,1389860,13672424
count-then-move,7,1366371,7830986
count-then-move,8,1224959,8023349
count-then-move,9,812430,7596088
count-then-move,10,744689,7661505
count-then-move,11,837965,7249909
count-then-move,12,961668,6144194
count-then-move,13,834972,6305312
count-then-move,14,938123,6609493
count-then-move,15,776359,7078287
count-then-move,16,879754,7680666
count-then-move,17,991797,7554018
count-then-move,18,867819,7451310
concurrent-output,1,665948,7781827
concurrent-output,2,814983,9277843
concurrent-output,3,1616012,10255755
concurrent-output,4,1879317,10307967
concurrent-output,5,2728289,14888864
concurrent-output,6,1192703,14354099
concurrent-output,7,2573501,7281515
concurrent-output,8,2459967,6989954
concurrent-output,9,713090,7934178
concurrent-output,10,1411474,7176674
concurrent-output,11,920653,7759199
concurrent-output,12,832116,6406077
concurrent-output,13,860346,5756267
concurrent-output,14,773582,7130714
concurrent-output,15,765250,6824741
concurrent-output,16,841000,7349838
concurrent-output,17,933821,6377472
concurrent-output,18,892867,8278415
